Career,Followers,Gender,Name,Group
5,697177,Girl,Jiheon,FROMIS_9
7,8786200,Girl,Jihyo,TWICE
10,49385614,Boy,Jimin,BTS
10,45165530,Boy,Jin,BTS
6,252607,Boy,Jinho,PENTAGON
9,9876211,Boy,Jinyoung,GOT7
6,72397050,Girl,Jisoo,BLACKPINK
8,145099,Girl,Jisoo,LOVELYZ
5,474733,Girl,Jisun,FROMIS_9
4,96271,Girl,Jiwon,CHERRY BULLET
5,469096,Girl,Jiwon,FROMIS_9
13,5018813,Girl,Jiyeon,T-ARA
7,9561190,Boy,Johnny,NCT
9,676415,Girl,Johyun,BERRY GOOD
10,39045,Boy,Jonghwan,100%
11,522061,Boy,Jongup,B.A.P
5,19236,Boy,Joochan,GOLDEN CHILD
8,6463871,Boy,Joshua,SEVENTEEN
8,14543633,Girl,Joy,RED VELVET
11,1160316,Boy,JR,NU'EST
7,2893796,Boy,Ju-ne,IKON
8,17997,Girl,Jueun,DIA
6,47258,Boy,Jun,A.C.E
8,4177907,Boy,Jun,SEVENTEEN
6,54749,Boy,Junghoon,OMEGA X
11,1166912,Girl,Junghwa,EXID
4,9029,Girl,Jungwoo,BVNDIT
15,2803634,Boy,Junho,2PM
13,2585421,Boy,Junhyung,HIGHLIGHT
14,290206,Girl,Kaeun,AFTER SCHOOL
11,14619606,Boy,Kai,EXO
6,2278,Girl,Karin,ALICE
1,4765820,Girl,Kazuha,LE SSERAFIM
8,132302,Girl,Kei,LOVELYZ
11,911079,Boy,Ken,VIXX
12,99881,Girl,Keumjo,9MUSES
15,9641860,Boy,Key,SHINEE
9,1688597,Boy,Kihyun,MONSTA X
4,265786,Girl,Kim Lip,LOONA
13,10563163,Girl,Krystal,F(X)
12,116457,Boy,Kwangmin,BOYFRIEND
17,2048308,Boy,Kyuhyun,SUPER JUNIOR
12,636777,Girl,Kyungri,9MUSES
13,3327774,Boy,L,INFINITE
11,14251685,Boy,Lay,EXO
11,941816,Girl,LE,EXID
17,5251060,Boy,Leeteuk,SUPER JUNIOR
4,8063,Girl,Lena,GWSN
11,1146669,Boy,Leo,VIXX
11,79214,Girl,Lime,HELLO VENUS
6,93337766,Girl,Lisa,BLACKPINK
7,307665,Boy,Lou,VAV
5,135851,Girl,Lua,WEKI MEKI
5,122293,Girl,Lucy,WEKI MEKI
7,554997,Girl,Luda,WJSN
13,1516689,Girl,Luna,F(X)
9,13765664,Boy,Mark,GOT7
7,11345668,Boy,Mark,NCT
4,73732,Girl,May,CHERRY BULLET
8,536028,Girl,Mijoo,LOVELYZ
7,66938,Girl,Mimi,GUGUDAN
8,684661,Girl,Mimi,OH MY GIRL
7,1241751,Girl,Mina,GUGUDAN
7,8317566,Girl,Mina,TWICE
13,1503250,Girl,Minah,GIRL'S DAY
8,9406795,Boy,Mingyu,SEVENTEEN
15,3303247,Boy,Minho,SHINEE
11,1998207,Boy,Minhyuk,BTOB
9,1399377,Boy,Minhyuk,MONSTA X
11,5726329,Boy,Minhyun,NU'EST
8,12561,Girl,Minjae,SONAMOO
11,14126,Girl,Minjae,TAHITI
4,954,Girl,Minju,GWSN
5,5615380,Girl,Minnie,(G)I-DLE
8,6264461,Boy,Mino,WINNER
9,60639,Boy,Minpyo,B.I.G
10,50368,Boy,Minsu,BOYS REPUBLIC
12,229596,Boy,Minwoo,BOYFRIEND
12,664093,Girl,Minyoung,BRAVE GIRLS
17,80632,Girl,Miryo,BROWN EYED GIRLS
4,18352,Girl,Miya,GWSN
5,3582981,Girl,Miyeon,(G)I-DLE
7,3068910,Boy,MJ,ASTRO
7,11504255,Girl,Momo,TWICE
4,9076,Girl,Momoka,PINK FANTASY
9,5093547,Girl,Moonbyul,MAMAMOO
11,1861221,Boy,N,VIXX
4,1585101,Girl,Nako,IZ*ONE
12,826278,Girl,Namjoo,APINK
14,3933462,Girl,Nana,AFTER SCHOOL
6,3427748,Girl,Nancy,MOMOLAND
11,1495340,Girl,Nara,HELLO VENUS
9,29212,Girl,Nari,WASSUP
17,119089,Girl,Narsha,BROWN EYED GIRLS
7,10757436,Girl,Nayeon,TWICE
7,90254,Girl,Nayoung,GUGUDAN
6,368938,Girl,Nayun,MOMOLAND
8,16043,Girl,New Sun,SONAMOO
15,1423661,Boy,Nichkhun,2PM
10,35983,Boy,Onejunn,BOYS REPUBLIC
15,2854748,Boy,Onew,SHINEE
12,1232537,Boy,P.O,BLOCK B
12,408199,Boy,Park Kyung,BLOCK B
11,1138977,Boy,Peniel,BTOB
13,639657,Girl,Qri,T-ARA
7,86639,Girl,Rachel,APRIL
14,17675,Girl,Raina,AFTER SCHOOL
11,1657143,Boy,Ravi,VIXX
4,45323,Girl,Remi,CHERRY BULLET
11,1250189,Boy,Ren,NU'EST
7,7842916,Boy,Renjun,NCT
10,43681931,Boy,RM,BTS
7,3126042,Boy,Rocky,ASTRO
6,5274298,Boy,Rowoon,SF9
8,5819916,Boy,S.Coups,SEVENTEEN
6,2542,Girl,Saebom,FAVORITE
4,20307,Girl,Saebom,NATURE
5,499444,Girl,Saerom,FROMIS_9
1,7661574,Girl,Sakura,LE SSERAFIM
7,109208,Girl,Sally,GUGUDAN
7,9887725,Girl,Sana,TWICE
13,205899,Boy,Sandeul,B1A4
7,3719191,Boy,Sanha,ASTRO
4,20393,Girl,Seea,PINK FANTASY
11,23425827,Boy,Sehun,EXO
9,57287,Girl,Sehyung,BERRY GOOD
7,9965492,Girl,Sejeong,GUGUDAN
6,472154,Boy,Sejun,VICTON
4,9352,Girl,Seokyoung,GWSN
7,761738,Girl,Seola,WJSN
10,3777078,Girl,Seolhyun,AOA
4,773,Girl,Seoryoung,GWSN
5,433758,Girl,Seoyeon,FROMIS_9
11,36896,Girl,Seoyoung,HELLO VENUS
9,70519,Girl,Seoyul,BERRY GOOD
12,154746,Girl,Serri,DAL SHABET
8,12893342,Girl,Seulgi,RED VELVET
4,11172,Girl,Seungeun,BVNDIT
8,370294,Girl,Seunghee,CLC
8,389735,Girl,Seunghee,OH MY GIRL
8,491725,Boy,Seunghyub,N.FLYING
8,5894890,Boy,Seungkwan,SEVENTEEN
5,14834,Boy,Seungmin,GOLDEN CHILD
6,1313766,Boy,Seungwoo,VICTON
8,414544,Girl,Seungyeon,CLC
17,2778683,Boy,Shindong,SUPER JUNIOR
7,6215399,Boy,Shotaro,NCT
5,3633778,Girl,Shuhua,(G)I-DLE
11,4663,Girl,Sieun,CHECKMATE
3,2926,Girl,Sihyeon,ARIAZ
4,8719,Girl,Simyeong,BVNDIT
1,1564528,Girl,SinB,VIVIZ
17,8968317,Boy,Siwon,SUPER JUNIOR
6,35207,Girl,Siyeon,DREAMCATCHER
6,446659,Girl,Sohee,ALICE
12,103712,Girl,Sojin,9MUSES
13,829165,Girl,Sojin,GIRL'S DAY
10,89294,Girl,Sojung,LADIES' CODE
9,3295954,Girl,Solar,MAMAMOO
8,269126,Girl,Solbin,LABOUM
11,1064462,Girl,Solji,EXID
8,92126,Girl,Somyi,DIA
4,8737,Girl,Songhee,BVNDIT
7,252157,Girl,Soobin,WJSN
8,1590111,Girl,Sorn,CLC
4,11408,Girl,Soso,GWSN
8,1340087,Girl,Sowon,GFRIEND
7,86818,Girl,Soyee,GUGUDAN
5,3826310,Girl,Soyeon,(G)I-DLE
8,92115,Girl,Soyeon,LABOUM
6,380287,Girl,Sua,DREAMCATCHER
12,147784,Girl,Subin,DAL SHABET
11,10703170,Boy,Suho,EXO
8,17792,Girl,Sujeong,LOVELYZ
9,20452,Girl,Sujin,WASSUP
11,3784943,Boy,Sungjae,BTOB
13,51478,Boy,Sungjong,INFINITE
10,83773,Boy,Sungjun,BOYS REPUBLIC
13,513914,Boy,Sungyeol,INFINITE
11,4778,Girl,Suri,CHECKMATE
10,252627,Boy,Suwoong,BOYS REPUBLIC
5,165395,Girl,Suyeon,WEKI MEKI
15,295195,Boy,Taecyeon,2PM
15,3389254,Boy,Taecyeon,2PM
12,323605,Boy,Taeil,BLOCK B
7,5906526,Boy,Taeil,NCT
15,5417723,Boy,Taemin,SHINEE
7,10567442,Boy,Taeyong,NCT
5,20396,Boy,TAG,GOLDEN CHILD
8,6705619,Boy,The8,SEVENTEEN
7,11024366,Girl,Tzuyu,TWICE
12,111781,Boy,U-Kwon,BLOCK B
4,718,Girl,Uchae,NATURE
1,1632732,Girl,Umji,VIVIZ
10,58541265,Boy,V,BTS
8,5894298,Boy,Vernon,SEVENTEEN
13,3242461,Girl,Victoria,F(X)
4,219814,Girl,Vivi,LOONA
11,11402,Girl,Way,CRAYON POP
8,7690631,Girl,Wendy,RED VELVET
9,2538329,Girl,Wheein,MAMAMOO
7,8165210,Boy,Winwin,NCT
7,1310038,Boy,Wonpil,DAY6
8,5104706,Boy,Wonwoo,SEVENTEEN
1,7948915,Girl,Wonyoung,IVE
12,228438,Girl,Woohee,DAL SHABET
13,1404946,Boy,Woohyun,INFINITE
8,5022474,Boy,Woozi,SEVENTEEN
6,51448,Boy,Wow,A.C.E
11,8402552,Boy,Xiumin,EXO
8,160219,Girl,Yebin,DIA
6,146061,Boy,Yechan,OMEGA X
4,17304,Girl,Yechan,PINK FANTASY
8,228766,Girl,Yein,LOVELYZ
4,2213433,Girl,Yena,IZ*ONE
6,292299,Boy,Yeo One,PENTAGON
4,198621,Girl,Yeojin,LOONA
4,14028074,Boy,Yeonjun,TXT
7,614951,Girl,Yeonjung,WJSN
11,56818,Girl,Yeoreum,HELLO VENUS
7,340828,Girl,Yeoreum,WJSN
8,10757106,Girl,Yeri,RED VELVET
8,1486458,Girl,Yerin,GFRIEND
1,1036,Girl,Yeseul,HI-L
17,6506604,Boy,Yesung,SUPER JUNIOR
4,8439,Girl,Yiyeon,BVNDIT
8,98473,Girl,Yooa,OH MY GIRL
6,34988,Girl,Yoohyeon,DREAMCATCHER
5,921525,Girl,Yoojung,WEKI MEKI
5,130237,Girl,Yoonjo,UNI.T
11,105187,Girl,Yooyoung,HELLO VENUS
13,1226311,Boy,Yoseob,HIGHLIGHT
7,1232061,Boy,Young K,DAY6
11,288984,Boy,Youngjae,B.A.P
9,6692941,Boy,Youngjae,GOT7
